,Factory,Medical-Related Place,Place for Sports,Residence,Vehicle-Related Place,Office
0,0.0,5.0,-22.0,-10.0,6.0,3.0
1,-1.0,-4.0,-23.0,-5.0,1.0,4.0
2,0.0,2.0,4.0,7.0,2.0,-3.0
3,0.0,-5.0,12.0,-6.0,-5.0,2.0
4,1.0,-4.0,4.0,-7.0,-4.0,0.0
5,-1.0,-3.0,-31.0,29.0,9.0,-14.0
6,0.0,1.0,3.0,-21.0,-10.0,9.0
7,0.0,4.0,11.0,14.0,0.0,-2.0
8,0.0,4.0,-7.0,6.0,2.0,2.0
9,0.0,-1.0,8.0,-10.0,2.0,-6.0
10,1.0,1.0,-16.0,-2.0,-2.0,2.0
11,0.0,-8.0,-14.0,-12.0,-1.0,2.0
12,-1.0,5.0,7.0,13.0,1.0,2.0
13,0.0,-5.0,2.0,-21.0,5.0,-2.0
14,0.0,1.0,-1.0,25.0,-8.0,-4.0
15,0.0,2.0,-5.0,0.0,4.0,-2.0
16,0.0,2.0,8.0,-10.0,0.0,6.0
17,0.0,-1.0,-3.0,16.0,2.0,-5.0
18,0.0,-3.0,-18.0,-15.0,-5.0,5.0
19,0.0,-3.0,9.0,8.0,1.0,0.0
20,0.0,3.0,-14.0,-3.0,-1.0,-2.0
21,0.0,-1.0,6.0,-12.0,1.0,-3.0
22,0.0,4.0,-1.0,-18.0,0.0,0.0
23,0.0,-7.0,-3.0,9.0,-1.0,5.0
24,0.0,-1.0,8.0,12.0,2.0,-5.0
25,0.0,2.0,9.0,-3.0,-2.0,-2.0
26,1.0,5.0,-21.0,18.0,5.0,-3.0
27,0.0,-4.0,5.0,-12.0,-2.0,12.0
28,-1.0,2.0,5.0,13.0,2.0,-4.0
29,0.0,-3.0,1.0,-28.0,-4.0,-2.0
30,0.0,1.0,-1.0,13.0,-2.0,-4.0
31,0.0,-4.0,-6.0,11.0,0.0,5.0
32,0.0,9.0,-1.0,-10.0,3.0,0.0
33,0.0,3.0,-1.0,10.0,5.0,-8.0
34,0.0,1.0,-4.0,-10.0,-7.0,10.0
35,0.0,-11.0,-6.0,-3.0,-1.0,-2.0
36,0.0,-1.0,11.0,12.0,4.0,-4.0
37,1.0,0.0,-6.0,11.0,-4.0,-1.0
38,0.0,4.0,-3.0,-7.0,1.0,0.0
39,-1.0,-4.0,3.0,3.0,0.0,5.0
40,0.0,2.0,-2.0,-18.0,2.0,-6.0
41,1.0,4.0,-2.0,15.0,3.0,6.0
42,0.0,6.0,-1.0,-16.0,-4.0,-7.0
43,-1.0,-1.0,0.0,18.0,2.0,5.0
44,0.0,-2.0,-4.0,-35.0,14.0,3.0
45,1.0,-2.0,1.0,40.0,-9.0,-6.0
46,-1.0,4.0,8.0,-20.0,-6.0,5.0
47,0.0,-2.0,1.0,2.0,0.0,2.0
48,0.0,-8.0,-1.0,-2.0,-2.0,-11.0
49,0.0,5.0,-5.0,11.0,-2.0,6.0
50,0.0,0.0,-2.0,-12.0,1.0,-2.0
51,0.0,2.0,2.0,15.0,2.0,-4.0
52,0.0,-8.0,-7.0,-2.0,0.0,2.0
53,0.0,3.0,1.0,0.0,0.0,-1.0
54,0.0,-3.0,-1.0,-7.0,-3.0,0.0
55,0.0,-1.0,2.0,-19.0,3.0,2.0
56,0.0,1.0,-2.0,-5.0,-1.0,1.0
57,0.0,2.0,1.0,5.0,-3.0,-3.0
58,0.0,6.0,0.0,-3.0,0.0,0.0
59,0.0,-9.0,-2.0,22.0,1.0,3.0
60,0.0,5.0,3.0,-29.0,-1.0,-5.0
61,0.0,-5.0,-2.0,-8.0,1.0,5.0
62,0.0,5.0,-2.0,3.0,0.0,-2.0
63,0.0,-5.0,6.0,12.0,1.0,2.0
64,0.0,-2.0,-2.0,0.0,0.0,-1.0
65,0.0,2.0,-1.0,-28.0,-2.0,1.0
66,0.0,0.0,7.0,18.0,0.0,-4.0
67,0.0,-5.0,-4.0,4.0,0.0,1.0
68,0.0,6.0,-4.0,-23.0,0.0,-2.0
69,1.0,0.0,1.0,9.0,1.0,7.0
70,-1.0,0.0,0.0,4.0,1.0,-6.0
71,0.0,0.0,3.0,6.0,-1.0,-2.0
72,0.0,-2.0,-2.0,-14.0,-1.0,2.0
73,0.0,-2.0,-3.0,3.0,0.0,2.0
74,0.0,4.0,7.0,8.0,0.0,-3.0
75,0.0,-2.0,-6.0,-28.0,-1.0,1.0
76,0.0,-1.0,5.0,16.0,1.0,0.0
77,0.0,-1.0,-7.0,-1.0,2.0,2.0
78,0.0,2.0,7.0,-14.0,-1.0,-3.0
79,1.0,1.0,-6.0,8.0,1.0,0.0
80,-1.0,-3.0,1.0,7.0,-2.0,1.0
81,0.0,-2.0,1.0,-8.0,0.0,-1.0
82,1.0,0.0,-2.0,-9.0,1.0,-1.0
83,-1.0,0.0,0.0,2.0,-1.0,1.0
84,0.0,5.0,-1.0,9.0,0.0,0.0
85,0.0,-2.0,3.0,-14.0,-1.0,-1.0
86,0.0,5.0,-4.0,14.0,4.0,1.0
87,0.0,-5.0,1.0,-12.0,-4.0,1.0
88,0.0,-2.0,0.0,5.0,0.0,2.0
89,0.0,8.0,3.0,2.0,1.0,-1.0
90,0.0,-5.0,4.0,3.0,0.0,-2.0
91,0.0,-1.0,-6.0,-13.0,0.0,4.0
92,0.0,-1.0,0.0,4.0,1.0,-4.0
93,0.0,4.0,-2.0,-9.0,-2.0,2.0
94,0.0,-1.0,1.0,13.0,0.0,-2.0
95,0.0,-6.0,2.0,-2.0,0.0,0.0
96,0.0,5.0,-1.0,-3.0,1.0,0.0
97,0.0,5.0,-1.0,-3.0,-1.0,0.0
98,0.0,-1.0,2.0,5.0,2.0,0.0
99,0.0,-4.0,-3.0,-3.0,-1.0,1.0
100,0.0,3.0,3.0,-3.0,4.0,-2.0
101,0.0,-6.0,-3.0,-4.0,-2.0,1.0
102,0.0,1.0,6.0,11.0,0.0,3.0
103,0.0,2.0,-2.0,-16.0,2.0,-2.0
104,0.0,-5.0,10.0,6.0,3.0,-2.0
105,0.0,4.0,-2.0,-1.0,1.0,2.0
106,0.0,-3.0,-10.0,5.0,8.0,3.0
107,0.0,8.0,0.0,-6.0,-16.0,2.0
108,1.0,5.0,3.0,5.0,0.0,-3.0
109,-1.0,-6.0,8.0,-7.0,1.0,4.0
110,0.0,-5.0,6.0,-1.0,2.0,-3.0
111,0.0,-1.0,-5.0,-1.0,-3.0,-1.0
112,0.0,3.0,9.0,14.0,2.0,3.0
113,0.0,-1.0,11.0,-9.0,1.0,-2.0
114,1.0,1.0,-11.0,0.0,-1.0,2.0
115,-1.0,-3.0,5.0,2.0,1.0,7.0
116,0.0,0.0,-11.0,2.0,14.0,-6.0
117,2.0,1.0,7.0,2.0,0.0,2.0
118,-2.0,1.0,9.0,6.0,-14.0,0.0
119,0.0,6.0,-7.0,-13.0,0.0,2.0
120,0.0,-7.0,-3.0,8.0,-2.0,4.0
121,0.0,1.0,3.0,-7.0,5.0,-4.0
122,0.0,4.0,17.0,21.0,-5.0,7.0
123,1.0,-2.0,-7.0,-15.0,2.0,-9.0
124,-1.0,1.0,17.0,4.0,-2.0,0.0
125,1.0,-1.0,28.0,-2.0,2.0,1.0
126,-1.0,-1.0,-18.0,6.0,0.0,-1.0
127,1.0,2.0,9.0,-10.0,2.0,6.0
128,0.0,-3.0,-14.0,5.0,-1.0,10.0
129,1.0,2.0,19.0,12.0,-1.0,-6.0
130,0.0,9.0,-1.0,0.0,1.0,-2.0
131,-2.0,0.0,17.0,13.0,2.0,17.0
132,0.0,-1.0,-36.0,15.0,2.0,7.0
133,2.0,7.0,9.0,-14.0,-2.0,-3.0
134,-2.0,-5.0,1.0,-1.0,6.0,5.0
135,0.0,-5.0,-20.0,-12.0,2.0,-9.0
136,1.0,4.0,23.0,7.0,-3.0,15.0
137,-1.0,6.0,-5.0,17.0,-4.0,3.0
138,0.0,-12.0,-8.0,-11.0,0.0,9.0
139,1.0,6.0,13.0,-3.0,-2.0,-1.0
140,-1.0,-3.0,-2.0,6.0,8.0,17.0
141,2.0,5.0,22.0,5.0,-7.0,-7.0
142,6.0,-5.0,-38.0,13.0,5.0,-9.0
143,-5.0,15.0,20.0,31.0,4.0,40.0
144,-3.0,9.0,-6.0,-40.0,-6.0,-21.0
145,3.0,10.0,-15.0,-29.0,1.0,29.0
146,-2.0,2.0,10.0,27.0,-2.0,4.0
147,3.0,9.0,8.0,-1.0,0.0,-6.0
148,-4.0,-13.0,-25.0,-5.0,2.0,3.0
149,1.0,-4.0,21.0,-9.0,-3.0,23.0
150,0.0,-4.0,5.0,-6.0,4.0,27.0
151,0.0,-2.0,-1.0,-1.0,-1.0,-3.0
152,0.0,-9.0,3.0,17.0,-3.0,16.0
153,0.0,6.0,-21.0,-9.0,6.0,10.0
154,-1.0,2.0,8.0,1.0,-1.0,39.0
155,2.0,25.0,9.0,5.0,8.0,31.0
156,-2.0,-12.0,1.0,-18.0,-12.0,37.0
157,0.0,2.0,-3.0,12.0,-2.0,-27.0
158,0.0,-1.0,-8.0,0.0,8.0,2.0
159,3.0,-6.0,-3.0,5.0,-3.0,-34.0
160,-3.0,4.0,-9.0,-9.0,2.0,-3.0
161,1.0,2.0,3.0,14.0,-5.0,1.0
162,-1.0,-13.0,2.0,-2.0,8.0,-9.0
163,0.0,12.0,8.0,-7.0,-11.0,0.0
164,0.0,-12.0,12.0,-8.0,6.0,-10.0
165,0.0,7.0,3.0,1.0,-8.0,-55.0
166,0.0,15.0,-13.0,1.0,4.0,45.0
167,1.0,2.0,-2.0,-2.0,1.0,1.0
168,-1.0,-16.0,-5.0,18.0,7.0,-29.0
169,1.0,-4.0,-6.0,-21.0,-5.0,23.0
170,0.0,-10.0,-5.0,27.0,-3.0,-19.0
171,0.0,14.0,20.0,-26.0,3.0,-9.0
172,-1.0,-15.0,-4.0,-11.0,-5.0,-31.0
173,1.0,13.0,-9.0,18.0,1.0,-11.0
174,0.0,-6.0,-9.0,-7.0,2.0,-5.0
175,0.0,-6.0,16.0,4.0,0.0,-23.0
176,-1.0,16.0,2.0,8.0,-4.0,21.0
177,0.0,-8.0,2.0,-12.0,7.0,-19.0
178,1.0,-9.0,-9.0,7.0,-6.0,1.0
179,0.0,2.0,-16.0,-6.0,3.0,-11.0
180,1.0,1.0,0.0,4.0,-2.0,-12.0
181,-1.0,-4.0,22.0,-18.0,0.0,2.0
182,-1.0,9.0,-20.0,19.0,-1.0,-3.0
183,1.0,0.0,19.0,6.0,4.0,20.0
184,-1.0,-8.0,-28.0,-2.0,-2.0,-23.0
185,1.0,-7.0,7.0,-19.0,1.0,-11.0
186,-1.0,6.0,-3.0,5.0,-5.0,-1.0
187,2.0,-6.0,12.0,-3.0,9.0,5.0
188,-1.0,6.0,-14.0,1.0,-7.0,5.0
189,0.0,2.0,15.0,0.0,3.0,-13.0
190,-1.0,-3.0,7.0,28.0,-6.0,7.0
191,0.0,-4.0,-7.0,-12.0,1.0,-3.0
192,0.0,0.0,-2.0,-8.0,0.0,-5.0
193,0.0,2.0,5.0,9.0,0.0,-5.0
194,0.0,9.0,8.0,4.0,0.0,10.0
195,0.0,-8.0,4.0,6.0,4.0,-7.0
196,0.0,8.0,-13.0,-12.0,-5.0,6.0
197,0.0,-2.0,-6.0,4.0,4.0,0.0
198,0.0,-3.0,-3.0,8.0,4.0,6.0
199,0.0,-3.0,6.0,-11.0,-6.0,-22.0
200,0.0,7.0,13.0,-16.0,2.0,2.0
201,0.0,2.0,10.0,8.0,4.0,3.0
202,0.0,13.0,-9.0,-8.0,-4.0,15.0
203,1.0,-12.0,7.0,19.0,-2.0,-5.0
204,0.0,4.0,-13.0,3.0,0.0,0.0
205,0.0,4.0,3.0,78.0,3.0,-7.0
206,-1.0,-5.0,-17.0,-83.0,-2.0,-2.0
207,0.0,-9.0,3.0,5.0,-4.0,63.0
208,0.0,4.0,13.0,9.0,7.0,-53.0
209,0.0,1.0,4.0,-14.0,0.0,-7.0
210,2.0,-2.0,1.0,3.0,1.0,-2.0
211,-1.0,-4.0,-18.0,3.0,-2.0,-2.0
212,-1.0,-7.0,18.0,-8.0,-1.0,2.0
213,1.0,9.0,-19.0,5.0,0.0,9.0
214,0.0,6.0,6.0,-11.0,1.0,-5.0
215,-1.0,-1.0,-6.0,10.0,0.0,-3.0
216,0.0,0.0,0.0,-5.0,4.0,8.0
217,0.0,-1.0,8.0,36.0,-2.0,-3.0
218,2.0,-1.0,-25.0,-40.0,-3.0,-10.0
219,-2.0,-5.0,29.0,15.0,1.0,23.0
220,1.0,8.0,-3.0,-4.0,3.0,-24.0
221,-1.0,8.0,-17.0,-22.0,-5.0,5.0
222,0.0,-13.0,-2.0,23.0,-2.0,9.0
223,1.0,10.0,13.0,-11.0,6.0,-15.0
224,-1.0,-4.0,3.0,-4.0,2.0,-3.0
225,0.0,-8.0,-13.0,5.0,-5.0,-8.0
226,0.0,6.0,4.0,-7.0,3.0,6.0
227,0.0,-5.0,-6.0,7.0,-1.0,11.0
228,0.0,0.0,-2.0,-2.0,-5.0,-9.0
229,0.0,2.0,10.0,0.0,1.0,4.0
230,0.0,1.0,-2.0,8.0,-2.0,-1.0
231,0.0,1.0,0.0,7.0,8.0,4.0
232,0.0,-3.0,-4.0,-6.0,-5.0,21.0
233,0.0,2.0,12.0,-8.0,4.0,-36.0
234,0.0,-5.0,-11.0,12.0,-4.0,11.0
235,0.0,5.0,7.0,-20.0,7.0,-13.0
236,1.0,3.0,-12.0,22.0,-6.0,15.0
237,0.0,4.0,12.0,13.0,6.0,-23.0
238,-1.0,-10.0,-4.0,-13.0,-7.0,16.0
239,1.0,4.0,2.0,-5.0,0.0,-1.0
240,-1.0,-6.0,-6.0,-2.0,3.0,-13.0
241,0.0,0.0,11.0,3.0,-4.0,4.0
242,2.0,-2.0,-6.0,-8.0,-3.0,1.0
243,-2.0,-1.0,4.0,28.0,10.0,8.0
244,1.0,5.0,-5.0,-30.0,-3.0,-1.0
245,-1.0,1.0,1.0,7.0,-2.0,-11.0
246,0.0,-5.0,0.0,-5.0,-5.0,-2.0
247,1.0,-2.0,-1.0,9.0,5.0,-7.0
248,-1.0,-6.0,11.0,13.0,-2.0,7.0
249,0.0,2.0,-4.0,-22.0,4.0,1.0
250,0.0,6.0,0.0,16.0,0.0,-5.0
251,0.0,-1.0,-7.0,2.0,2.0,8.0
252,0.0,2.0,15.0,-13.0,-4.0,10.0
253,1.0,-1.0,2.0,18.0,6.0,-1.0
254,-1.0,6.0,6.0,-12.0,-3.0,-4.0
255,0.0,-8.0,0.0,13.0,4.0,-11.0
256,1.0,9.0,3.0,3.0,-5.0,5.0
257,0.0,-6.0,-11.0,-7.0,0.0,6.0
258,-1.0,1.0,12.0,2.0,-1.0,-14.0
259,2.0,5.0,-11.0,5.0,-2.0,12.0
260,-1.0,-11.0,0.0,5.0,3.0,7.0
261,-1.0,12.0,18.0,4.0,1.0,-4.0
262,0.0,-6.0,8.0,-12.0,-1.0,-3.0
263,0.0,3.0,-6.0,9.0,0.0,-7.0
264,0.0,-2.0,1.0,-8.0,-4.0,5.0
265,0.0,2.0,18.0,12.0,10.0,1.0
266,2.0,-11.0,0.0,12.0,-6.0,-11.0
267,-2.0,11.0,19.0,-15.0,3.0,14.0
268,0.0,8.0,-15.0,-5.0,1.0,0.0
269,0.0,-9.0,-1.0,0.0,-7.0,1.0
270,1.0,2.0,-2.0,29.0,-2.0,-7.0
271,0.0,6.0,-1.0,-8.0,4.0,11.0
272,-1.0,-13.0,1.0,-8.0,0.0,-19.0
273,0.0,9.0,-12.0,15.0,-3.0,20.0
274,0.0,-5.0,26.0,-14.0,9.0,-15.0
275,0.0,4.0,-7.0,12.0,-5.0,2.0
276,1.0,-13.0,-30.0,-17.0,-5.0,-5.0
277,-1.0,-5.0,23.0,-10.0,4.0,4.0
278,0.0,20.0,6.0,5.0,-2.0,-7.0
279,0.0,-15.0,7.0,11.0,3.0,9.0
280,0.0,-3.0,0.0,3.0,0.0,3.0
281,0.0,4.0,-6.0,21.0,2.0,-9.0
282,0.0,0.0,-9.0,-15.0,2.0,-4.0
283,0.0,-4.0,-11.0,-3.0,-9.0,4.0
284,0.0,6.0,9.0,9.0,5.0,1.0
285,0.0,-3.0,-13.0,6.0,-5.0,0.0
286,1.0,-1.0,-1.0,-2.0,2.0,2.0
